"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"KZ000036870","ALMATY, KZ","2005-01-01","29","37","23"
"KZ000036870","ALMATY, KZ","2005-01-02","26","31","20"
"KZ000036870","ALMATY, KZ","2005-01-03","24","38","16"
"KZ000036870","ALMATY, KZ","2005-01-04","22","27","19"
"KZ000036870","ALMATY, KZ","2005-01-05","28","37","23"
"KZ000036870","ALMATY, KZ","2005-01-06","34","37","31"
"KZ000036870","ALMATY, KZ","2005-01-07","29","35","26"
"KZ000036870","ALMATY, KZ","2005-01-08","34","40","28"
"KZ000036870","ALMATY, KZ","2005-01-09","31","35","29"
"KZ000036870","ALMATY, KZ","2005-01-10","31","34","29"
"KZ000036870","ALMATY, KZ","2005-01-11","26","35","20"
"KZ000036870","ALMATY, KZ","2005-01-12","33","46","20"
"KZ000036870","ALMATY, KZ","2005-01-13","32","36","29"
"KZ000036870","ALMATY, KZ","2005-01-14","28","34","24"
"KZ000036870","ALMATY, KZ","2005-01-15","23","31","20"
"KZ000036870","ALMATY, KZ","2005-01-16","21","24","19"
"KZ000036870","ALMATY, KZ","2005-01-17","24","29","19"
"KZ000036870","ALMATY, KZ","2005-01-18","23","26","18"
"KZ000036870","ALMATY, KZ","2005-01-19","19","29","12"
"KZ000036870","ALMATY, KZ","2005-01-20","25","39","16"
"KZ000036870","ALMATY, KZ","2005-01-21","25","37","20"
"KZ000036870","ALMATY, KZ","2005-01-22","23","32","19"
"KZ000036870","ALMATY, KZ","2005-01-23","22","27","17"
"KZ000036870","ALMATY, KZ","2005-01-24","15","17","13"
"KZ000036870","ALMATY, KZ","2005-01-25","5","14","-2"
"KZ000036870","ALMATY, KZ","2005-01-26","1","6","-3"
"KZ000036870","ALMATY, KZ","2005-01-27","3","9","-2"
"KZ000036870","ALMATY, KZ","2005-01-28","6","14","0"
"KZ000036870","ALMATY, KZ","2005-01-29","11","19","6"
"KZ000036870","ALMATY, KZ","2005-01-30","8","13","6"
"KZ000036870","ALMATY, KZ","2005-01-31","1","9","-3"
"KZ000036870","ALMATY, KZ","2005-02-01","2","7","0"
"KZ000036870","ALMATY, KZ","2005-02-02","3","9","-1"
"KZ000036870","ALMATY, KZ","2005-02-03","9","14","5"
"KZ000036870","ALMATY, KZ","2005-02-04","9","12","6"
"KZ000036870","ALMATY, KZ","2005-02-05","6","14","2"
"KZ000036870","ALMATY, KZ","2005-02-06","5","14","-1"
"KZ000036870","ALMATY, KZ","2005-02-07","11","23","4"
"KZ000036870","ALMATY, KZ","2005-02-08","14","27","6"
"KZ000036870","ALMATY, KZ","2005-02-09","19","33","11"
"KZ000036870","ALMATY, KZ","2005-02-10","19","29","12"
"KZ000036870","ALMATY, KZ","2005-02-11","24","38","16"
"KZ000036870","ALMATY, KZ","2005-02-12","24","28","21"
"KZ000036870","ALMATY, KZ","2005-02-13","22","26","20"
"KZ000036870","ALMATY, KZ","2005-02-14","21","23","19"
"KZ000036870","ALMATY, KZ","2005-02-15","16","21","8"
"KZ000036870","ALMATY, KZ","2005-02-16","4","11","0"
"KZ000036870","ALMATY, KZ","2005-02-17","4","13","-1"
"KZ000036870","ALMATY, KZ","2005-02-18","6","17","0"
"KZ000036870","ALMATY, KZ","2005-02-19","11","26","2"
"KZ000036870","ALMATY, KZ","2005-02-20","18","33","8"
"KZ000036870","ALMATY, KZ","2005-02-21","31","52","16"
"KZ000036870","ALMATY, KZ","2005-02-22","41","51","30"
"KZ000036870","ALMATY, KZ","2005-02-23","37","44","33"
"KZ000036870","ALMATY, KZ","2005-02-24","31","36","29"
"KZ000036870","ALMATY, KZ","2005-02-25","28","34","23"
"KZ000036870","ALMATY, KZ","2005-02-26","28","36","20"
"KZ000036870","ALMATY, KZ","2005-02-27","36","53","24"
"KZ000036870","ALMATY, KZ","2005-02-28","35","43","27"
"KZ000036870","ALMATY, KZ","2005-03-01","33","45","23"
"KZ000036870","ALMATY, KZ","2005-03-02","36","51","26"
"KZ000036870","ALMATY, KZ","2005-03-03","41","56","29"
"KZ000036870","ALMATY, KZ","2005-03-04","41","53","31"
"KZ000036870","ALMATY, KZ","2005-03-05","41","56","31"
"KZ000036870","ALMATY, KZ","2005-03-06","45","59","33"
"KZ000036870","ALMATY, KZ","2005-03-07","52","67","38"
"KZ000036870","ALMATY, KZ","2005-03-08","51","57","44"
"KZ000036870","ALMATY, KZ","2005-03-09","44","51","38"
"KZ000036870","ALMATY, KZ","2005-03-10","52","64","41"
"KZ000036870","ALMATY, KZ","2005-03-11","51","58","40"
"KZ000036870","ALMATY, KZ","2005-03-12","40","46","36"
"KZ000036870","ALMATY, KZ","2005-03-13","47","55","41"
"KZ000036870","ALMATY, KZ","2005-03-14","40","48","36"
"KZ000036870","ALMATY, KZ","2005-03-15","41","53","32"
"KZ000036870","ALMATY, KZ","2005-03-16","44","48","41"
"KZ000036870","ALMATY, KZ","2005-03-17","43","50","38"
"KZ000036870","ALMATY, KZ","2005-03-18","46","60","34"
"KZ000036870","ALMATY, KZ","2005-03-19","38","53","31"
"KZ000036870","ALMATY, KZ","2005-03-20","41","53","29"
"KZ000036870","ALMATY, KZ","2005-03-21","50","64","36"
"KZ000036870","ALMATY, KZ","2005-03-22","54","65","45"
"KZ000036870","ALMATY, KZ","2005-03-23","57","66","45"
"KZ000036870","ALMATY, KZ","2005-03-24","57","67","47"
"KZ000036870","ALMATY, KZ","2005-03-25","60","72","46"
"KZ000036870","ALMATY, KZ","2005-03-26","45","63","39"
"KZ000036870","ALMATY, KZ","2005-03-27","34","45","27"
"KZ000036870","ALMATY, KZ","2005-03-28","29","36","24"
"KZ000036870","ALMATY, KZ","2005-03-29","38","52","27"
"KZ000036870","ALMATY, KZ","2005-03-30","48","62","34"
"KZ000036870","ALMATY, KZ","2005-03-31","59","71","46"
"KZ000036870","ALMATY, KZ","2005-04-01","60","72","50"
"KZ000036870","ALMATY, KZ","2005-04-02","64","75","52"
"KZ000036870","ALMATY, KZ","2005-04-03","67","78","55"
"KZ000036870","ALMATY, KZ","2005-04-04","37","62","30"
"KZ000036870","ALMATY, KZ","2005-04-05","34","45","30"
"KZ000036870","ALMATY, KZ","2005-04-06","30","36","26"
"KZ000036870","ALMATY, KZ","2005-04-07","30","36","23"
"KZ000036870","ALMATY, KZ","2005-04-08","35","42","26"
"KZ000036870","ALMATY, KZ","2005-04-09","41","47","35"
"KZ000036870","ALMATY, KZ","2005-04-10","43","52","33"
"KZ000036870","ALMATY, KZ","2005-04-11","47","58","36"
"KZ000036870","ALMATY, KZ","2005-04-12","54","64","43"
"KZ000036870","ALMATY, KZ","2005-04-13","57","62","51"
"KZ000036870","ALMATY, KZ","2005-04-14","50","58","39"
"KZ000036870","ALMATY, KZ","2005-04-15","47","57","38"
"KZ000036870","ALMATY, KZ","2005-04-16","52","65","38"
