"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"PLM00012375","OKECIE, PL","2005-01-01","39",,
"PLM00012375","OKECIE, PL","2005-01-02","37","45",
"PLM00012375","OKECIE, PL","2005-01-03","36",,"34"
"PLM00012375","OKECIE, PL","2005-01-04","40",,
"PLM00012375","OKECIE, PL","2005-01-05","42","44",
"PLM00012375","OKECIE, PL","2005-01-06","38",,"35"
"PLM00012375","OKECIE, PL","2005-01-07","42",,
"PLM00012375","OKECIE, PL","2005-01-08","49","53","46"
"PLM00012375","OKECIE, PL","2005-01-09","43","52",
"PLM00012375","OKECIE, PL","2005-01-10","46",,
"PLM00012375","OKECIE, PL","2005-01-11","45","50","42"
"PLM00012375","OKECIE, PL","2005-01-12","45","48","40"
"PLM00012375","OKECIE, PL","2005-01-13","42","46",
"PLM00012375","OKECIE, PL","2005-01-14","37","40",
"PLM00012375","OKECIE, PL","2005-01-15","33","37",
"PLM00012375","OKECIE, PL","2005-01-16","28","33",
"PLM00012375","OKECIE, PL","2005-01-17","28","36","22"
"PLM00012375","OKECIE, PL","2005-01-18","30","38",
"PLM00012375","OKECIE, PL","2005-01-19","26",,"21"
"PLM00012375","OKECIE, PL","2005-01-20","34","36","29"
"PLM00012375","OKECIE, PL","2005-01-21","35",,"33"
"PLM00012375","OKECIE, PL","2005-01-22","32","35","30"
"PLM00012375","OKECIE, PL","2005-01-23","30","33",
"PLM00012375","OKECIE, PL","2005-01-24","26","30","22"
"PLM00012375","OKECIE, PL","2005-01-25","25","28",
"PLM00012375","OKECIE, PL","2005-01-26","23","27","21"
"PLM00012375","OKECIE, PL","2005-01-27","20","24",
"PLM00012375","OKECIE, PL","2005-01-28","20",,"11"
"PLM00012375","OKECIE, PL","2005-01-29","21","24","19"
"PLM00012375","OKECIE, PL","2005-01-30","23","25",
"PLM00012375","OKECIE, PL","2005-01-31","29","36","21"
"PLM00012375","OKECIE, PL","2005-02-01","31","34","28"
"PLM00012375","OKECIE, PL","2005-02-02","31","33","30"
"PLM00012375","OKECIE, PL","2005-02-03","31",,
"PLM00012375","OKECIE, PL","2005-02-04","22","31",
"PLM00012375","OKECIE, PL","2005-02-05","17","22",
"PLM00012375","OKECIE, PL","2005-02-06","13","23","6"
"PLM00012375","OKECIE, PL","2005-02-07","15",,"6"
"PLM00012375","OKECIE, PL","2005-02-08","14",,"5"
"PLM00012375","OKECIE, PL","2005-02-09","16","27","6"
"PLM00012375","OKECIE, PL","2005-02-10","24",,"10"
"PLM00012375","OKECIE, PL","2005-02-11","35","38","29"
"PLM00012375","OKECIE, PL","2005-02-12","30","35","24"
"PLM00012375","OKECIE, PL","2005-02-13","37","43","29"
"PLM00012375","OKECIE, PL","2005-02-14","33","37",
"PLM00012375","OKECIE, PL","2005-02-15","31","35","26"
"PLM00012375","OKECIE, PL","2005-02-16","32",,"30"
"PLM00012375","OKECIE, PL","2005-02-17","32","33",
"PLM00012375","OKECIE, PL","2005-02-18","29","32",
"PLM00012375","OKECIE, PL","2005-02-19","26",,
"PLM00012375","OKECIE, PL","2005-02-20","28",,"25"
"PLM00012375","OKECIE, PL","2005-02-21","27",,"24"
"PLM00012375","OKECIE, PL","2005-02-22","30","34","24"
"PLM00012375","OKECIE, PL","2005-02-23","35",,
"PLM00012375","OKECIE, PL","2005-02-24","33","36","31"
"PLM00012375","OKECIE, PL","2005-02-25","29","32",
"PLM00012375","OKECIE, PL","2005-02-26","26","30",
"PLM00012375","OKECIE, PL","2005-02-27","15","25","7"
"PLM00012375","OKECIE, PL","2005-02-28","13","21","4"
"PLM00012375","OKECIE, PL","2005-03-01","22","29","12"
"PLM00012375","OKECIE, PL","2005-03-02","22","31","15"
"PLM00012375","OKECIE, PL","2005-03-03","19","32","10"
"PLM00012375","OKECIE, PL","2005-03-04","22",,"9"
"PLM00012375","OKECIE, PL","2005-03-05","26","30","22"
"PLM00012375","OKECIE, PL","2005-03-06","24","28",
"PLM00012375","OKECIE, PL","2005-03-07","26",,"20"
"PLM00012375","OKECIE, PL","2005-03-08","31",,
"PLM00012375","OKECIE, PL","2005-03-09","24","30",
"PLM00012375","OKECIE, PL","2005-03-10","19","27","5"
"PLM00012375","OKECIE, PL","2005-03-11","28",,"25"
"PLM00012375","OKECIE, PL","2005-03-12","33","36","29"
"PLM00012375","OKECIE, PL","2005-03-13","28","34",
"PLM00012375","OKECIE, PL","2005-03-14","33","40","20"
"PLM00012375","OKECIE, PL","2005-03-15","35",,"19"
"PLM00012375","OKECIE, PL","2005-03-16","40",,
"PLM00012375","OKECIE, PL","2005-03-17","48","54",
"PLM00012375","OKECIE, PL","2005-03-18","42","48",
"PLM00012375","OKECIE, PL","2005-03-19","28","37","24"
"PLM00012375","OKECIE, PL","2005-03-20","27","33","23"
"PLM00012375","OKECIE, PL","2005-03-21","28","34","21"
"PLM00012375","OKECIE, PL","2005-03-22","31","41","22"
"PLM00012375","OKECIE, PL","2005-03-23","39","55","23"
"PLM00012375","OKECIE, PL","2005-03-24","43",,"27"
"PLM00012375","OKECIE, PL","2005-03-25","45","54",
"PLM00012375","OKECIE, PL","2005-03-26","41","54",
"PLM00012375","OKECIE, PL","2005-03-27","38","48","33"
"PLM00012375","OKECIE, PL","2005-03-28","39","46","32"
"PLM00012375","OKECIE, PL","2005-03-29","39","48","28"
"PLM00012375","OKECIE, PL","2005-03-30","35","45","26"
"PLM00012375","OKECIE, PL","2005-03-31","37","47","27"
"PLM00012375","OKECIE, PL","2005-04-01","40","51","26"
"PLM00012375","OKECIE, PL","2005-04-02","42","57","24"
"PLM00012375","OKECIE, PL","2005-04-03","46","61","29"
"PLM00012375","OKECIE, PL","2005-04-04","50","65","31"
"PLM00012375","OKECIE, PL","2005-04-05","53","68","33"
"PLM00012375","OKECIE, PL","2005-04-06","48","56","42"
